X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0626959130626,38.9037537418952,30218158,38.90375,-77.06269,C & O Canal & Wisconsin Ave NW,classic,87,active,2022/04/16 04:44:44+00,6,0,16,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0230517897715,38.8786979846733,30218159,38.878694,-77.023054,Maine Ave & 7th St SW,classic,88,active,2022/04/16 06:26:01+00,12,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9959215966098,38.8948522167208,30218160,38.894841,-76.995916,D St & Maryland Ave NE,classic,89,active,2022/04/16 04:49:47+00,9,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0682072959445,38.9164524225154,30218161,38.916442,-77.0682,34th St & Wisconsin Ave NW,classic,90,active,2022/04/16 04:44:44+00,3,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0298258460357,38.9002895319474,30218162,38.900283,-77.029822,13th St & New York Ave NW,classic,91,active,2022/04/16 04:44:43+00,16,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.023093163365,38.8997055135112,30218163,38.8997,-77.023086,8th & H St NW,classic,92,active,2022/04/16 05:42:19+00,11,0,17,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,33,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9935320236249,38.9324619194733,30218164,38.932457,-76.993534,10th & Monroe St NE,classic,93,active,2022/04/15 20:00:41+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0049486410948,38.9109771393928,30218165,38.910972,-77.00495,Eckington Pl & Q St NE,classic,94,active,2022/04/16 06:15:08+00,16,0,6,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9983537521342,38.8999780356464,30218166,38.899972,-76.998347,6th & H St NE,classic,95,active,2022/04/16 04:44:45+00,10,0,13,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0019505600023,38.9004194405368,30218167,38.900412,-77.001949,3rd & H St NE,classic,96,active,2022/04/16 04:44:44+00,11,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
